outcome,var_a,var_b,var_c,var_d,var_e,var_f,var_g,var_h
0,703,41180,0,38,1,114000,3,3
0,631,-1,0,29,1,93873.67,14,3
0,753,24340,0,17,1,130708.29,13,4.125
0,778,49660,30,43,1,57221.18,10,4.25
0,771,48300,0,34,2,253062.47,19,4
0,704,38900,0,32,2,228203.54,16,4.625
0,708,38900,0,38,2,145614.25,18,4
0,791,-1,0,39,2,135684.1,21,3.25
0,820,-1,0,14,2,483.2,21,4
0,738,17460,0,41,2,110887.01,14,4.125
0,724,-1,12,38,2,26744.69,24,3.375
0,797,-1,0,9,2,68103.23,17,3.75
0,756,44180,0,40,1,78000,7,4.125
0,813,21780,30,32,1,76213.07,19,4.125
0,785,-1,6,29,2,206645.28,13,3.75
0,795,35084,0,26,1,152351.31,20,4
0,800,13900,0,16,1,176000,7,3.75
0,801,19740,12,41,2,405235.4,20,4
0,791,15540,0,45,2,412464.76,8,3.625
0,795,41100,0,18,2,174447.33,15,3.125
0,807,-1,0,36,1,7159.76,13,4.125
0,738,30460,0,28,2,72690.21,17,4.75
0,763,38300,0,14,1,84189.33,18,4
0,763,38860,0,32,1,202685.03,10,3.75
0,698,46140,0,28,1,385002.22,0,5.25
0,775,-1,0,15,2,149287.07,25,3.875
0,718,42100,0,27,2,514000,7,4.625
0,748,46520,0,49,2,449544.56,19,4.125
0,804,28100,30,43,1,106000,5,3.5
0,734,-1,0,31,1,252374.03,10,3.75
0,755,39580,0,34,2,348075.6,19,3.875
0,771,24340,0,10,2,137197.02,18,4.125
0,788,16974,0,39,2,253009.59,20,3.99
0,793,38900,0,21,1,302974.57,18,4.05
0,772,21780,0,29,2,315993.61,22,4.125
0,738,16974,0,24,2,286581.48,18,4.125
0,743,38940,25,37,1,124260.24,11,4.75
0,770,37860,0,31,2,167151.39,23,4.55
0,717,36084,0,43,1,407097.09,10,4.625
0,795,38900,0,13,1,118456.15,24,4
0,734,45220,0,12,2,124000,6,3.875
0,749,18140,0,23,2,207604.71,11,3.375
0,734,-1,0,31,2,171617.01,24,3.75
0,691,36084,0,48,1,333133.16,15,4.25
0,781,-1,30,29,1,169295.88,8,4.125
0,794,41740,25,42,1,351462.31,8,4.125
0,694,-1,0,43,1,129000,7,3.99
0,746,45300,0,28,1,181263.86,20,3.75
0,691,-1,0,27,2,325034.62,21,4
0,795,41940,0,40,2,363000,5,4.75
0,771,16974,0,47,1,286000,6,4.125
0,775,15764,0,33,2,402213.5,20,4
0,752,15804,0,36,2,219346.59,14,3.99
0,791,-1,0,20,2,393246.23,0,4
0,739,38060,6,34,1,129865.99,20,3.5
0,726,15764,0,14,2,456609.58,9,3.875
0,728,-1,0,46,2,181000,5,3.5
0,784,40900,0,37,1,118066.09,12,4
0,727,42644,0,39,1,336181.68,19,4.25
0,746,26900,0,47,1,62429.82,17,4.125
0,717,34980,30,33,2,139946.04,19,4.75
0,700,11244,0,45,1,576190.37,20,4.5
0,756,31084,0,31,2,243000,5,4.125
0,775,41940,0,45,1,473065.05,20,4.125
0,629,47664,0,45,1,86311.43,10,4.875
0,687,14454,25,37,2,341702.06,21,3.875
0,772,15764,0,23,2,412000,4,4.125
0,713,16860,25,40,2,187872.31,19,4.25
0,780,40140,0,21,1,273000,3,3.875
0,804,-1,0,47,2,217546.88,10,4.5
0,757,-1,0,20,2,197663.3,14,3.875
0,723,12420,0,35,2,271000,7,3
0,740,39580,0,49,1,89000,5,4.75
0,787,12420,0,35,2,335135.1,10,4.125
0,697,11244,0,47,2,388031.22,21,3.99
0,713,41940,0,37,1,388928.55,17,4
0,756,31084,0,46,2,402082.17,15,4.375
0,683,31084,0,39,2,174685.36,19,4.088
0,775,-1,12,46,1,312434.88,20,4
0,710,40900,0,37,2,310676.33,10,3.75
0,716,49340,0,27,1,270407.13,19,4.25
0,805,31084,25,35,1,562550.51,16,4.125
0,785,27500,0,41,2,188288.36,14,4
0,744,36084,0,47,2,436679.96,16,4.5
0,765,-1,0,25,2,294478.55,9,3.25
0,666,-1,0,33,2,184901.11,19,3.875
0,783,16974,30,38,2,174986.16,21,3.99
0,720,31084,0,45,1,586000,6,4.375
0,784,-1,0,30,2,155279.47,18,3.125
0,799,28140,0,40,2,189000,4,3.375
0,740,18140,30,29,2,192064.33,18,4.5
0,766,15764,0,31,2,383017.04,19,3.875
0,773,39300,30,34,1,198034.29,18,4.125
0,809,-1,0,35,2,261505.1,20,4.25
0,729,44700,0,31,1,226892.88,25,4.18
0,791,33874,0,30,1,205627.12,9,4.375
0,691,22660,0,32,1,360000,3,4.625
0,781,41884,0,23,2,618363.93,9,4.125
0,765,41940,12,37,2,616000,4,4.125
0,733,31084,0,42,2,169691.26,12,4.25
0,757,17140,0,41,2,253751.02,20,4.25
0,766,14454,25,44,1,294425.62,9,4.125
0,811,41884,0,35,1,323571.57,15,3.125
0,751,16974,0,28,2,223783.5,20,4.25
0,712,12420,0,35,2,250362.35,23,3.25
0,763,-1,30,21,2,129209.5,22,3.875
0,739,47894,0,47,2,403016.53,23,3.875
0,810,45300,25,29,1,194944.8,18,3.875
0,777,41180,12,24,2,145191.4,16,4.125
0,658,26900,30,36,2,149782.79,14,4.375
